net,length_um
_01617_,1180.21
_02516_,1167.61
_02509_,1121.335
_05589_,1076.5
_05488_,1029.94
_01756_,1020.06
_05325_,1017.34
_02464_,1016.53
_05646_,999.5
_05490_,999.245
_01629_,993.05
_05807_,985.5
_05564_,985.04
_05714_,980.7
_05307_,971.72
_01846_,963.3
_05561_,957.03
_05468_,945.44
_01745_,931.965
_05772_,927.36
_01768_,925.82
_05471_,916.9
_05805_,916.82
_05529_,903.6
_05526_,898.855
_01913_,898.26
_05784_,895.73
_05748_,889.25
_01928_,887.63
_05728_,881.32
clknet_0_clk,878.64
_06840_,878.2
_05322_,872.285
_05793_,868.68
_05639_,866.87
_05378_,863.1
_05722_,862.72
_01886_,862.37
_06837_,860.08
_05310_,852.55
_05683_,852.46
_05644_,849.82
_05785_,848.16
_01947_,846.36
_05733_,845.82
_05549_,845.18
_01859_,844.67
_05575_,843.29
_05603_,839.52
_05592_,836.8
_01946_,830.84
_05640_,820.39
_01841_,818.14
_01867_,813.225
_05794_,812.15
_06887_,811.03
_05578_,810.72
_02460_,810.34
_02016_,803.33
_05774_,803
_05814_,801.34
_04777_,798.58
_01774_,798.21
_05685_,797.48
_05338_,795.64
_06890_,795.605
_06942_,789.78
_05823_,783.51
_01880_,782.47
_01748_,781.78
_01986_,778.96
_05810_,778.76
_05838_,776.17
_06927_,771.75
_01970_,770.22
_05344_,769.52
_01840_,767.58
_05606_,766.21
_02006_,765.82
_05816_,765.29
_05543_,759.23
_01782_,756.43
_01910_,750.75
_05482_,750.6
_05687_,749.63
_05362_,748.18
_06930_,745.83
_05418_,745.76
_05820_,735.54
_05830_,732.05
_01932_,724.45
_05677_,719.56
clk,714.51
_01933_,709.55
_05509_,709.26
_05647_,705.93
_02115_,704.19
_01935_,703.93
_01863_,703.2
_05690_,698.52
_05960_,697.47
_05813_,692.77
_05621_,680.81
_05971_,679.38
_05770_,674.9
_05666_,673.96
_01837_,672.85
_05747_,668.97
_05988_,667.82
_06945_,666.14
_05638_,658.47
_05381_,650.77
_01875_,650.385
_05539_,647.66
_05840_,646.47
_02019_,645.815
_05788_,641.05
_05667_,638.99
_01936_,631.89
_05756_,630.62
_05946_,628.6
_05915_,628.53
_06860_,624.58
_05689_,623.82
_05705_,621.89
_05790_,621.73
_05956_,621.06
_05811_,619.13
_05684_,617.91
_05741_,617.65
_01871_,617.54
_05674_,616.63
_02017_,615.9
_01829_,614.16
_01786_,612.9
_01890_,612.74
_01776_,610.02
_01860_,606.48
_01938_,603.77
_05704_,602.34
_05643_,598.65
_05449_,595.56
_05524_,594.38
_05750_,592.26
_02007_,592.18
_01771_,586.02
_05977_,584.41
_05415_,584.2
_02009_,582.86
_05654_,582.03
_05919_,581.51
_05359_,580.31
_04725_,579.8
_05787_,578.28
_05692_,576.71
_01952_,573.85
_01899_,572.48
_01794_,571.28
_05973_,567.2
_05641_,567.08
_01956_,564.14
_05675_,564
_01876_,561.71
_05481_,560.55
_02178_,559.8
_02177_,559.51
_04670_,558.02
_02117_,554.86
_06983_,554.19
_01698_,553.88
_01842_,549.46
_01750_,547.88
_05738_,547.76
_06832_,546.86
_05645_,543.79
_01809_,543.36
_05797_,542.98
clknet_4_4__leaf_clk,540.29
_01923_,538.965
_06005_,538.61
_05688_,538.28
_01797_,534.25
_01492_,533.27
_01869_,531.58
net66,530.13
_05763_,528.25
_01926_,528.07
_01694_,527.36
net8,526.24
clknet_4_6__leaf_clk,525.7
net22,524.84
_01866_,524.64
_06511_,522.59
_01654_,522.27
_05632_,520.56
_01870_,519.11
_05736_,516.55
_01856_,516.5
_06433_,512.47
_05898_,512.35
_01857_,511.6
_05652_,510.035
_01795_,509.85
_05669_,509.31
net27,509.08
_06027_,508.96
net68,507.29
_05941_,506.56
_01741_,505.74
_01925_,505.18
_01663_,505.09
net91,504.69
_06963_,504.23
net5,504.12
_05910_,504.06
net112,501.39
_05494_,500.72
_01987_,499.16
_05624_,498.09
_02119_,497.5
_05841_,497.38
_01657_,497.33
clknet_4_3__leaf_clk,497.1
_05356_,495.27
_05827_,495.14
_01862_,494.71
net65,494.38
net70,493.12
_05828_,492.96
net116,491.77
_05890_,491.49
net120,490.86
net86,488.76
_05517_,488.05
_05963_,487.78
_01770_,486.8
net9,486.6
net117,485.26
net93,484.84
_07001_,484.34
_06803_,483.44
clknet_4_2__leaf_clk,483.4
_05725_,483.1
_01759_,483.045
net19,481.78
_07070_,481.3
_01853_,480.69
_01800_,480.685
_07037_,479.53
_07004_,477.87
_05505_,476.72
_01830_,475.335
net71,473.56
_01666_,473.54
_07073_,473
_01762_,472.16
_01874_,471.88
_06908_,470.39
_01760_,469.98
_01855_,469.07
_02273_,469.04
net84,468.96
net28,468.22
net129,467.12
_06108_,465.09
_01704_,464.54
_01660_,464.34
net25,464.12
clknet_4_5__leaf_clk,464.03
net101,463.98
net131,463.77
net72,462.94
_01884_,461.84
_02208_,461.67
_01682_,461.26
_05978_,460.14
_06670_,459.88
net130,459.3
_01701_,459.2
_01804_,458.9
_05783_,458.03
net77,457.68
_05883_,457.62
haz_detect.id_rs2\[0\],457.48
_02015_,457.35
net110,457.18
net3,455.84
_05629_,454.48
rd1_ex\[31\],454.1
net115,453.5
_05833_,453.47
_02137_,453.46
net4,452.66
_01739_,451.98
net94,451.7
net133,451.43
net88,451.14
net6,450.68
_01641_,450.32
_01650_,449.99
_01787_,448.76
net32,447.78
_01909_,447.61
_05708_,447.22
net127,447.18
_01767_,447.04
net74,446.7
net30,446.5
_07048_,446.21
_05486_,446.175
_01676_,445.18
net31,444.56
net118,444.3
net2,444
_01672_,443.68
_05776_,443.32
net109,443
net7,442.6
_05678_,442.25
net26,441.8
_05821_,441.78
_05502_,441.01
rd2_ex\[4\],440.76
net96,440.44
_00618_,440.4
_01810_,439.56
_01806_,439.47
_05845_,439.27
net10,439.26
net95,439.21
net114,438.88
net104,438.56
_05792_,438.41
_01707_,437.12
_05780_,436.65
net12,436.36
net89,435.88
_05657_,435.24
_05656_,435.17
rd1_ex\[21\],435
net29,434.9
_05779_,434.67
net126,434.56
net125,434.42
net122,433.6
_01988_,433.12
_05983_,432.67
_02008_,432.48
_01688_,432.26
_01685_,431.52
net75,431.42
_02891_,430.56
_01679_,430.5
net24,430.3
net23,430.2
net67,430.1
_05939_,429.37
_07017_,429.07
_04929_,429.02
_07084_,428.63
net106,427.86
_05764_,427.75
_06002_,427.12
_05616_,426.92
net18,426.8
_07020_,426.33
_01710_,425.38
_01773_,425.21
_05726_,424.98
net20,424.46
_06900_,423.63
net121,423.14
net21,423.08
_01852_,422.85
_01529_,422.19
net111,422.1
_05758_,421.68
_03514_,421.01
net1,420.7
_01644_,420.68
_05695_,419.63
net119,418.54
_02504_,418.08
_01752_,417.55
_06705_,417.04
net97,415.915
_01765_,414.91
_06905_,414.74
net92,414.25
_01758_,414.09
_05673_,414.08
_02182_,414.07
net17,414.06
_02176_,413.64
_06061_,412.1
imm_ex\[25\],411.41
_06956_,411.11
_01791_,410.53
net41,410.28
_01788_,409.94
_01872_,409.04
_06060_,408.4
_05628_,407.77
_02181_,406.64
net103,406.1
net134,405.8
net90,404.6
haz_detect.id_rs1\[0\],404.54
net42,404.42
_05681_,402.64
net123,402.34
net79,400.88
clknet_4_7__leaf_clk,400.48
net87,399.68
_01823_,399.12
net82,398.98
_05622_,398.8
_02152_,397.71
_06975_,397.32
net83,396.38
_02487_,395.39
_02146_,395.1
_05631_,394.92
_02107_,394.545
_02145_,393.55
net107,393.36
_05665_,392.67
net43,392.64
net146,392.6
net85,392.42
net16,392.34
_01751_,392.15
_01777_,391.9
net128,391.48
net102,391.38
_05662_,390.78
_02049_,390.06
_05826_,390.03
net108,389.68
_01627_,389.22
net105,388.54
net135,388.06
_05710_,387.24
_05697_,385.77
net13,385.58
_01793_,385.39
_05909_,384.84
_02165_,383.9
net46,383.04
net73,382.92
_07054_,382.04
_05636_,381.43
net113,380.9
_00620_,380.735
net69,380.3
net124,378.54
net47,378.12
_01792_,377.96
haz_detect.id_rs1\[3\],377.34
imm_ex\[24\],377.09
_01635_,376.67
_05949_,376.48
_05709_,376.42
_05781_,375.77
net11,375.34
_01779_,375.08
_05668_,374.88
net15,374.38
_05897_,374.165
net132,373.28
_01803_,373.26
_02479_,372.78
_05753_,372.63
net39,371.94
_02467_,371.88
_05771_,371.34
_01764_,371.02
rd1_ex\[29\],370.46
_05984_,369.825
_04696_,369.22
clknet_4_13__leaf_clk,369.03
net76,368.755
_01780_,367.9
net80,367.9
_01865_,367.57
net14,366.58
_05940_,365.87
_02490_,365.66
_01597_,365.64
net37,365.64
_05968_,364.76
net45,364.26
_02466_,364.18
_01805_,363.115
_05721_,363.04
pc_plus_4_ex\[31\],362.29
_05762_,362.16
_05619_,362.11
net40,361.44
net155,360.65
_02470_,359.85
_05803_,359.22
net49,358.52
_01940_,358.36
_01783_,357.96
net51,357.76
net161,357.34
_05672_,357.21
net143,357.05
_05749_,356.44
_01891_,355.72
_03220_,355.15
net48,354.76
net50,354.76
net81,354.58
net137,353.36
rd1_ex\[27\],353.1
_05921_,352.76
_05727_,352.15
rd1_ex\[30\],352.14
_02484_,351.84
_02469_,351.12
_02453_,351.05
_00050_,351.045
net162,350.72
_03168_,350.71
net139,350.2
_05495_,350.125
_04218_,349.32
_06966_,348.6
_06000_,348.58
_01833_,348.18
clknet_4_1__leaf_clk,347.89
net52,347.64
net35,347.54
_05861_,346.42
net164,343.99
net36,343.58
rd1_ex\[23\],342.44
_02011_,341.75
net144,341.6
net38,341.28
_06087_,340.98
net158,340.12
_01509_,339.08
clknet_4_12__leaf_clk,338.47
_06454_,337.74
_01836_,337.23
_03260_,337.01
net60,336.92
_01949_,336.4
net78,336.34
net165,335.94
clknet_4_0__leaf_clk,335.94
net147,334.8
net138,334.7
net34,334.22
net53,333.38
net64,333.16
_02228_,332.99
clknet_4_14__leaf_clk,332.45
net149,332.42
net160,332.2
net163,332.14
_02648_,332.05
_06104_,331.96
_02468_,331.82
net150,331.48
_06988_,331.07
net57,330.94
net148,330.18
net141,330
net58,329.94
net145,329.86
_05724_,329.78
_05406_,329.73
net142,328.335
net154,327.82
imm_ex\[26\],326.89
_01944_,326.27
_01763_,326.03
rd1_ex\[26\],325.85
net59,324.74
_01811_,323.84
_00051_,323.6
_02211_,323.55
net166,323.17
_02477_,322.08
_01740_,322.055
net157,322
_02274_,321.4
net56,321.26
_05818_,321.02
_00624_,320.94
rd1_ex\[20\],320.84
net33,320.58
_01624_,320.05
_00052_,319.87
_01898_,318.92
_03093_,318.92
net63,318.68
_02492_,318.44
_02483_,318.22
net54,318.06
clknet_4_10__leaf_clk,317.6
net136,317.5
_02132_,317.41
_02478_,317.36
_01515_,317.28
imm_ex\[22\],317.19
_06451_,317.06
_00621_,316.955
_06543_,316.915
net44,316.54
_05364_,315.8
_02471_,315.59
net98,315.4
_06904_,315.34
_02476_,315.32
_02087_,314.22
_05769_,313.98
net140,313.8
_01821_,313.49
_02892_,313.46
_03293_,312.99
rd1_ex\[28\],312.79
_00046_,311.745
haz_detect.id_rs2\[2\],311.03
_05904_,309.48
net61,309.4
_00625_,309.165
_01559_,308.94
_04642_,308.82
_03379_,308.78
net55,308.64
net62,308.18
_06100_,307.74
_01632_,307.36
_05422_,306.94
_07056_,306.14
_03508_,305.92
_02486_,305.56
_07014_,305.41
imm_ex\[19\],304.61
imm_ex\[4\],304.08
_02706_,303.98
_05761_,303.3
_02967_,303.2
_05660_,303.19
_04281_,302.74
_01896_,302.545
net100,302.04
_06432_,301.64
_05405_,301.06
imm_ex\[18\],300.33
_02749_,300.27
_02475_,300.18
_02603_,298.92
_02557_,298.65
_05945_,298.64
_02482_,298.43
_03306_,298.37
_02462_,298.36
imm_ex\[20\],297.66
imm_ex\[13\],297.6
_02166_,297.56
_05778_,297.44
imm_ex\[21\],297.42
_01744_,295.915
_06969_,295.82
_05376_,294.88
_01638_,294.57
rd2_ex\[1\],294
pc_plus_4_ex\[29\],293.03
_00053_,293.02
_05545_,292.1
_02951_,291.85
_05368_,291.73
_02124_,291.72
clknet_4_9__leaf_clk,291.34
_00047_,290.665
_05402_,290.535
_05754_,290.27
_04603_,290.21
_02730_,289.93
_06970_,289.88
_01984_,289.64
_01622_,289.58
_05620_,289.1
_03700_,288.02
net99,287.88
_04606_,287.64
_02493_,287.58
_02491_,287.4
rd1_ex\[19\],287.15
_04094_,286.655
_00623_,286.425
_03154_,285.55
_03381_,285.195
_03323_,284.38
_00049_,284.02
imm_ex\[28\],284.01
_05990_,284
_03202_,283.44
haz_detect.id_rs1\[2\],283.24
net156,283.2
_01819_,283.03
_03319_,282.41
imm_ex\[31\],282.01
